Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
USA,587173.0,232.0,23644.0,4.0,36948.0,526581.0,12772.0,1774.0,71.0,2943955.0,8894.0,North America
Spain,170099.0,0.0,17756.0,0.0,64727.0,87616.0,7371.0,3638.0,380.0,600000.0,12833.0,Europe
