Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
Ivory Coast,626.0,0.0,6.0,0.0,89.0,531.0,0.0,24.0,0.2,0.0,0.0,Africa
Costa Rica,612.0,0.0,3.0,0.0,62.0,547.0,14.0,120.0,0.6,6868.0,1348.0,North America
Niger,548.0,0.0,13.0,0.0,86.0,449.0,0.0,23.0,0.5,4399.0,182.0,Africa
Burkina Faso,515.0,0.0,27.0,0.0,161.0,327.0,0.0,25.0,1.0,0.0,0.0,Africa
Uruguay,483.0,0.0,8.0,0.0,248.0,227.0,15.0,139.0,2.0,9236.0,2659.0,South America
Albania,475.0,8.0,24.0,1.0,248.0,203.0,5.0,165.0,8.0,4306.0,1496.0,Europe
Channel Islands,436.0,0.0,9.0,0.0,48.0,379.0,0.0,2508.0,52.0,3320.0,19095.0,Europe
Kyrgyzstan,430.0,11.0,5.0,0.0,71.0,354.0,5.0,66.0,0.8,26147.0,4008.0,Asia
Honduras,407.0,10.0,26.0,1.0,7.0,374.0,10.0,41.0,3.0,1600.0,162.0,North America
Jordan,397.0,6.0,7.0,0.0,235.0,155.0,5.0,39.0,0.7,20500.0,2009.0,Asia
Taiwan,393.0,0.0,6.0,0.0,124.0,263.0,0.0,17.0,0.3,48549.0,2038.0,Asia
Malta,393.0,9.0,3.0,0.0,44.0,346.0,4.0,890.0,7.0,19121.0,43305.0,Europe
Réunion,391.0,0.0,0.0,0.0,40.0,351.0,3.0,437.0,0.0,0.0,0.0,Africa
San Marino,371.0,0.0,36.0,0.0,53.0,282.0,15.0,10934.0,1061.0,846.0,24933.0,Europe
Djibouti,363.0,65.0,2.0,0.0,53.0,308.0,0.0,367.0,2.0,5356.0,5421.0,Africa
Guinea,363.0,44.0,0.0,0.0,31.0,332.0,0.0,28.0,0.0,0.0,0.0,Africa
Bolivia,354.0,24.0,28.0,1.0,6.0,320.0,3.0,30.0,2.0,2185.0,187.0,South America
Nigeria,343.0,0.0,10.0,0.0,91.0,242.0,2.0,2.0,0.05,5000.0,24.0,Africa
Mauritius,324.0,0.0,9.0,0.0,51.0,264.0,3.0,255.0,7.0,7077.0,5565.0,Africa
